Causa de muerte	Sexo	Edad	Comunidades y Ciudades Autónomas	Periodo	Total
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	03 Asturias, Principado de	2009	117
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	03 Asturias, Principado de	2008	113
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	03 Asturias, Principado de	2007	125
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	03 Asturias, Principado de	2006	127
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	03 Asturias, Principado de	2005	124
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	03 Asturias, Principado de	2004	131
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	03 Asturias, Principado de	2003	125
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	03 Asturias, Principado de	2002	135
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	03 Asturias, Principado de	2001	136
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	03 Asturias, Principado de	2000	156
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	03 Asturias, Principado de	1999	130
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	03 Asturias, Principado de	1998	123
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	03 Asturias, Principado de	1997	164
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	03 Asturias, Principado de	1996	170
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	03 Asturias, Principado de	1995	150
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	03 Asturias, Principado de	1994	160
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	03 Asturias, Principado de	1993	149
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	03 Asturias, Principado de	1992	136
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	03 Asturias, Principado de	1991	164
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	03 Asturias, Principado de	1990	142
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	03 Asturias, Principado de	1989	142
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	03 Asturias, Principado de	1988	168
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	03 Asturias, Principado de	1987	138
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	03 Asturias, Principado de	1986	131
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	03 Asturias, Principado de	1985	138
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	03 Asturias, Principado de	1984	123
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	03 Asturias, Principado de	1983	134
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	03 Asturias, Principado de	1982	92
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	03 Asturias, Principado de	1981	104
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	03 Asturias, Principado de	1980	110
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	04 Balears, Illes	2022	109
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	04 Balears, Illes	2021	89
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	04 Balears, Illes	2020	87
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	04 Balears, Illes	2019	97
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	04 Balears, Illes	2018	71
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	04 Balears, Illes	2017	103
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	04 Balears, Illes	2016	92
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	04 Balears, Illes	2015	93
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	04 Balears, Illes	2014	97
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	04 Balears, Illes	2013	104
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	04 Balears, Illes	2012	90
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	04 Balears, Illes	2011	87
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	04 Balears, Illes	2010	96
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	04 Balears, Illes	2009	104
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	04 Balears, Illes	2008	80
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	04 Balears, Illes	2007	77
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	04 Balears, Illes	2006	68
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	04 Balears, Illes	2005	70
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	04 Balears, Illes	2004	68
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	04 Balears, Illes	2003	71
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	04 Balears, Illes	2002	58
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	04 Balears, Illes	2001	48
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	04 Balears, Illes	2000	59
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	04 Balears, Illes	1999	45
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	04 Balears, Illes	1998	55
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	04 Balears, Illes	1997	67
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	04 Balears, Illes	1996	63
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	04 Balears, Illes	1995	61
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	04 Balears, Illes	1994	52
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	04 Balears, Illes	1993	53
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	04 Balears, Illes	1992	63
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	04 Balears, Illes	1991	60
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	04 Balears, Illes	1990	57
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	04 Balears, Illes	1989	62
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	04 Balears, Illes	1988	45
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	04 Balears, Illes	1987	42
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	04 Balears, Illes	1986	46
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	04 Balears, Illes	1985	33
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	04 Balears, Illes	1984	27
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	04 Balears, Illes	1983	28
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	04 Balears, Illes	1982	25
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	04 Balears, Illes	1981	16
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	04 Balears, Illes	1980	25
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	05 Canarias	2022	233
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	05 Canarias	2021	230
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	05 Canarias	2020	208
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	05 Canarias	2019	197
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	05 Canarias	2018	193
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	05 Canarias	2017	200
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	05 Canarias	2016	183
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	05 Canarias	2015	190
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	05 Canarias	2014	178
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	05 Canarias	2013	185
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	05 Canarias	2012	189
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	05 Canarias	2011	142
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	05 Canarias	2010	156
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	05 Canarias	2009	160
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	05 Canarias	2008	183
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	05 Canarias	2007	157
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	05 Canarias	2006	170
